Dataset,query_index,SU,LU,alpha_visual_weight,language_weight_1_minus_alpha,is_low_SU_10pct,is_low_language_weight_10pct,is_low_LU_10pct,V2_correct_at_1
AmsterTime,0,0.8113099932670593,0.9316897392272949,0.772686243057251,0.22731375694274902,False,False,False,False
AmsterTime,1,0.49816447496414185,0.8935624957084656,0.9069810509681702,0.09301894903182983,True,False,False,False
AmsterTime,2,0.8789830207824707,0.9230256080627441,0.6920584440231323,0.3079415559768677,False,False,False,False
AmsterTime,3,0.6552420854568481,0.9334167838096619,0.8835487365722656,0.11645126342773438,False,False,False,True
AmsterTime,4,0.8785116672515869,0.9598867297172546,0.7922523617744446,0.20774763822555542,False,False,False,False
AmsterTime,5,0.7368150949478149,0.8827705979347229,0.6658216118812561,0.3341783881187439,False,False,False,False
AmsterTime,6,0.7606968879699707,0.9530807733535767,0.8529525995254517,0.14704740047454834,False,False,False,False
AmsterTime,7,0.8245632648468018,0.9385401606559753,0.7805575132369995,0.2194424867630005,False,False,False,False
AmsterTime,8,0.766933798789978,0.9336204528808594,0.8106768131256104,0.18932318687438965,False,False,False,True
AmsterTime,9,0.8633188009262085,0.9435206651687622,0.7651948928833008,0.23480510711669922,False,False,False,False
AmsterTime,10,0.9475641250610352,0.9367058277130127,0.6851671934127808,0.31483280658721924,False,False,False,False
AmsterTime,11,0.7291027307510376,0.9090722799301147,0.7745101451873779,0.22548985481262207,False,False,False,False
AmsterTime,12,0.7291027307510376,0.92319655418396,0.8138173818588257,0.18618261814117432,False,False,False,True
AmsterTime,13,0.8033198714256287,0.9461475610733032,0.8128983378410339,0.18710166215896606,False,False,False,True
AmsterTime,14,0.7378287315368652,0.9075185060501099,0.7618037462234497,0.2381962537765503,False,False,False,True
AmsterTime,15,0.6917537450790405,0.885017991065979,0.7244228720664978,0.2755771279335022,False,False,False,False
AmsterTime,16,0.8821283578872681,0.9442593455314636,0.7537839412689209,0.2462160587310791,False,False,False,False
AmsterTime,17,0.7467136383056641,0.9310510158538818,0.8193952441215515,0.1806047558784485,False,False,False,False
AmsterTime,18,0.670153021812439,0.9410126209259033,0.8865804672241211,0.1134195327758789,False,False,False,True
AmsterTime,19,0.9313909411430359,0.9434270858764648,0.7169066667556763,0.28309333324432373,False,False,False,False
AmsterTime,20,0.8335744142532349,0.9274135231971741,0.743049144744873,0.25695085525512695,False,False,False,False
AmsterTime,21,0.7108343839645386,0.8459306955337524,0.5020666122436523,0.49793338775634766,False,False,True,False
AmsterTime,22,0.8680895566940308,0.8570201396942139,0.3893258571624756,0.6106741428375244,False,False,False,False
AmsterTime,23,0.7786840200424194,0.9022295475006104,0.7047727704048157,0.2952272295951843,False,False,False,True
AmsterTime,24,0.9070163369178772,0.9535053968429565,0.7597774267196655,0.24022257328033447,False,False,False,False
AmsterTime,25,0.8544155359268188,0.950053870677948,0.7869067192077637,0.21309328079223633,False,False,False,False
AmsterTime,26,0.8037315607070923,0.9514588713645935,0.8232961297035217,0.17670387029647827,False,False,False,False
AmsterTime,27,0.8037315607070923,0.9404178857803345,0.8000288605690002,0.19997113943099976,False,False,False,True
AmsterTime,28,0.5278144478797913,0.9251294136047363,0.9341670870780945,0.06583291292190552,False,True,False,True
AmsterTime,29,0.4540410041809082,0.8569612503051758,0.8564382195472717,0.14356178045272827,True,False,False,True
AmsterTime,30,0.7459183931350708,0.9375985860824585,0.8340539336204529,0.16594606637954712,False,False,False,True
AmsterTime,31,0.6786534786224365,0.8346235752105713,0.4777926504611969,0.5222073793411255,False,False,True,True
AmsterTime,32,0.7748092412948608,0.9110674262046814,0.740432858467102,0.25956714153289795,False,False,False,False
AmsterTime,33,0.5733288526535034,0.8902769684791565,0.8514533042907715,0.14854669570922852,False,False,False,True
AmsterTime,34,0.6971089839935303,0.8972299098968506,0.7648370862007141,0.2351629137992859,False,False,False,False
AmsterTime,35,0.3945392966270447,0.9319562911987305,0.9739644527435303,0.026035547256469727,True,True,False,True
AmsterTime,36,0.740607738494873,0.9430208206176758,0.8479668498039246,0.15203315019607544,False,False,False,False
AmsterTime,37,0.7815719842910767,0.9401950240135193,0.8150621652603149,0.18493783473968506,False,False,False,False
AmsterTime,38,0.6511776447296143,0.8578687310218811,0.6463299989700317,0.35367000102996826,False,False,False,False
AmsterTime,39,0.6511776447296143,0.8996515870094299,0.8137408494949341,0.18625915050506592,False,False,False,True
AmsterTime,40,0.5584316253662109,0.9430482387542725,0.9389695525169373,0.061030447483062744,False,True,False,True
AmsterTime,41,0.8995369672775269,0.857594907283783,0.36441999673843384,0.6355800032615662,False,False,False,False
AmsterTime,42,0.6318475604057312,0.8626532554626465,0.6940814256668091,0.3059185743331909,False,False,False,True
AmsterTime,43,0.6472828388214111,0.878423810005188,0.7451512217521667,0.25484877824783325,False,False,False,True
AmsterTime,44,0.5009273886680603,0.9272328615188599,0.945600152015686,0.054399847984313965,True,True,False,True
AmsterTime,45,0.4186380207538605,0.9183054566383362,0.9624239206314087,0.03757607936859131,True,True,False,True
AmsterTime,46,0.7942619919776917,0.877275288105011,0.5752413272857666,0.4247586727142334,False,False,False,True
AmsterTime,47,0.5373419523239136,0.9136149883270264,0.916892945766449,0.08310705423355103,False,True,False,True
